,name,brand,product_description,price,product_image_url
1,Jeir 800ML Drinks Bottle Cup Cover Tour Drinks Sports Hydration Straw Water Bottle for Cycling Hiking Trip Bicycle Gym Sport,Jeir,"Features: 1. Safe material: Made of bpa-free plastic, safe and non-toxic. 2. Innovative Twist-on lid: Twist-on lid with matching color hinged translucent dome to protect flip-up straw sipper. 3. With plastic ring: Plastic ring around the neck for easy transport. 4. Convenient to carry: Lightweight, durable, reusable This stylish water bottle is very durable and suitable for multiple uses; hiking and climbing for packed lunches, with a foldable straw for easy drinking. Specifications: Material: plastic Color: black, green, blue,  red, orange (optional) Capacity: 800ml Size (height * cup diameter): 7.5*23.8cm Package Included: 1 x water bottle Notes: 1. Due to the difference between different monitors, the picture may not reflect the actual color of the item. We guarantee the style is the same as shown in the pictures. 2. Please allow slight dimension difference due to different manual measurement.",15.56,https://i5.walmartimages.com/asr/3d74fd23-d2cd-4b59-826f-da6453b7f0dc.91287e951ba0cab671de4f588c940c62.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff|https://i5.walmartimages.com/asr/3d74fd23-d2cd-4b59-826f-da6453b7f0dc.91287e951ba0cab671de4f588c940c62.jpeg?odnHeight=2000&odnWidth=2000&odnBg=ffffff
2,Expansion Hand Reamer Carbon Steel Spiral Flutes - 0.562 dia. x 2.125 Flute Length x 6 OAL - Series 750,Homecare Products,Features. Constructed with modified material for maximum durability. Precision-machined guarantee compatibility with precision. Compatible with most other tools . Offers strong grasp and grip. Expansion Hand Reamer. Spiral Flutes. Carbon Steel. 9/16'' Dia x 2 1/8'' Flute Length x 6'' OAL. Series 750- SKU: ZX9FDTL4558,183.45,https://i5.walmartimages.com/asr/534a0f02-201e-4036-a7f0-0e02b4ba2e5f_1.237924aa78642b58d596ba27c46c4bf7.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff|https://i5.walmartimages.com/asr/534a0f02-201e-4036-a7f0-0e02b4ba2e5f_1.237924aa78642b58d596ba27c46c4bf7.jpeg?odnHeight=2000&odnWidth=2000&odnBg=ffffff
3,Coke Cola Bottle Dispenser Upside Down Drinking Fountains Beverage Pressure Tool,Gohope,"When used, the first product reversal, the base of the mouth aligned beverage bottle, forced tightening!And then turn the drink, you can use it on the desktop!If it is soft drinks, then just use the handle when you can pull out the drink! If you have no gas, you need to press the bottle by hand to make it drink!Type: BarwareMaterial: ABSPackage weight: 0.119 kgProduct size (L x W x H): 15.50 x 18.00 x 10.20 cm / 6.1 x 7.09 x 4.02 inchesPackage size (L x W x H): 15.00 x 15.00 x 10.00 cm / 5.91 x 5.91 x 3.94 inchesPackage Contents: 1 X Coke bottle upside down dispenser",22.11,https://i5.walmartimages.com/asr/87b9e0ca-ebda-454f-99f2-ce53357c2014.771fa9cb21a5e9f8151bfa68ed3d9cae.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff|https://i5.walmartimages.com/asr/87b9e0ca-ebda-454f-99f2-ce53357c2014.771fa9cb21a5e9f8151bfa68ed3d9cae.jpeg?odnHeight=2000&odnWidth=2000&odnBg=ffffff
4,"Freedo Bag Chip Clips, Fresh Food Clips, Photo File Clamps, for Kitchen Office (9 Clips)",Freedo,"QUALITY CHIP CLIP - These chip clips is made from FDA plastic. It features no odor,thick,super solid and great spring tension. You will love this and happy to find them. A MUST HAVE FOR KITCHEN - Every household needs these smart little beauties! You will be able to use it in your kitchens for all types of things. The large clip 6 inch is convenient to use on bags of all sizes.  KEEPS FOOD FRESH - These sturdy bag chips are useful for sealing plastic bags to keep potato chips or most any other kind of food fresh like dry pet food, as their large gripping surface seals bags tightly to keep out air and moisture. WELL PACKED IN A BOX - 3 Colors you will be find in this package , rose red,blue and green. Package includes 3 large clips (6&quot W x 3.3&quot H),6 small clips (3&quot W x 2.5&quot H ) , All these 9pcs bag clips will be well packed in a white classic box without broken when delivered to you.",26.06,https://i5.walmartimages.com/asr/2ced546f-bad4-409b-9090-708b1b5d1d65_1.d2b8c33e1b7db87c62f6521885fdbd3e.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff|https://i5.walmartimages.com/asr/2ced546f-bad4-409b-9090-708b1b5d1d65_1.d2b8c33e1b7db87c62f6521885fdbd3e.jpeg?odnHeight=2000&odnWidth=2000&odnBg=ffffff
5,Expansion Hand Reamer Carbon Steel Spiral Flutes - 0.937 dia. x 3.056 Flute Length x 8.375 OAL - Series 750,Homecare Products,Features. Constructed with modified material for maximum durability. Precision-machined guarantee compatibility with precision. Compatible with most other tools . Offers strong grasp and grip. Expansion Hand Reamer. Spiral Flutes. Carbon Steel. 15/16'' Dia x 3 9/16'' Flute Length x 8 3/8'' OAL. Series 750- SKU: ZX9FDTL4564,313.31,https://i5.walmartimages.com/asr/a4efec37-2fb7-4f91-9584-60ebd9b6bb66_1.237924aa78642b58d596ba27c46c4bf7.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff|https://i5.walmartimages.com/asr/a4efec37-2fb7-4f91-9584-60ebd9b6bb66_1.237924aa78642b58d596ba27c46c4bf7.jpeg?odnHeight=2000&odnWidth=2000&odnBg=ffffff
6,"Left Hand Adjustable Two Piece Dies, 0.437-20 Size - Series 215",Homecare Products,Features. Constructed with modified material for maximum durability. Precision-machined guarantee compatibility with precision. Compatible with most other tools . Offers strong grasp and grip. Adjustable Two Piece Dies. Left Hand. 7/16-20 Size. Series 215- SKU: ZX9FDTL6006,193.49,https://i5.walmartimages.com/asr/758fb020-7df7-40ca-985c-053e6bb7e7b9_1.1216b627647e3c1e600f6d9478711c1c.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff|https://i5.walmartimages.com/asr/758fb020-7df7-40ca-985c-053e6bb7e7b9_1.1216b627647e3c1e600f6d9478711c1c.jpeg?odnHeight=2000&odnWidth=2000&odnBg=ffffff
7,"Left Hand Taper Shank Chucking Reamer, High Speed Steel - 0.562 dia. x No.1 Morse - Series 760L",Homecare Products,Features. Constructed with modified material for maximum durability. Precision-machined guarantee compatibility with precision. Compatible with most other tools . Offers strong grasp and grip. Chucking Reamer. Taper Shank. Left Hand. High Speed Steel. 9/16'' Dia x No.1 Morse. Series 760L- SKU: ZX9FDTL4248,65.35,https://i5.walmartimages.com/asr/c6894eed-9d7d-4f86-864d-8ad92752f87a_1.6a9448ec1fcd6aafb912bddc310956a2.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff|https://i5.walmartimages.com/asr/c6894eed-9d7d-4f86-864d-8ad92752f87a_1.6a9448ec1fcd6aafb912bddc310956a2.jpeg?odnHeight=2000&odnWidth=2000&odnBg=ffffff
8,370729 1 in. Expandets Blue,Homecare Products,Features. Light duty in concrete brick and stone. Color coded by dia. Layout/hole spotting required. Use with sheet metal wood or lag screw. Screw length equals anchor length. Plastic. Size: 1'' Color: Blue; Fits No. 14 Screws. Requires: 5/16'' BitSpecifications. Color: Blue. Diemension: 2'' H x 3.5'' W x 3.4'' L. Weight: 0.3 lbs- SKU: ZX9ACHR16476,27.44,https://i5.walmartimages.com/asr/b5cd46bf-2d59-4f3a-8ccc-26d68e734c91_1.5da50a93c60f2cb9a5f52c9ef3382b64.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff|https://i5.walmartimages.com/asr/b5cd46bf-2d59-4f3a-8ccc-26d68e734c91_1.5da50a93c60f2cb9a5f52c9ef3382b64.jpeg?odnHeight=2000&odnWidth=2000&odnBg=ffffff
9,6001-383 Small Spinner Display,Homecare Products,Features. Small spinner display. 4 sided spinning peg mounted display. Grid wire design allowing for custom placement of 1.5 in. Hooks. Display come with 24 each 1.5 in. Scanner peg hooks.. Dimension - 24 x 13 x 9 in.. Item weight - 25 lbs.- SKU: ZX9TRVAL70593,88.46,https://i5.walmartimages.com/asr/a167c29f-7d4f-4c84-8870-cd50e35bf11b_1.0863a15852a757604b746733051048e9.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff|https://i5.walmartimages.com/asr/a167c29f-7d4f-4c84-8870-cd50e35bf11b_1.0863a15852a757604b746733051048e9.jpeg?odnHeight=2000&odnWidth=2000&odnBg=ffffff
10,Quit Like a Woman: The Radical Choice to Not Drink in a Culture Obsessed with Alcohol,Quit Like,Quit Like a Woman: The Radical Choice to Not Drink in a Culture Obsessed with Alcohol,22.71,https://i5.walmartimages.com/asr/6fbf7cbc-1cc9-4c47-9015-5bb8b2f9bbee.5440ff2a1af06cf1c400bd4cd448ecb2.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff|https://i5.walmartimages.com/asr/6fbf7cbc-1cc9-4c47-9015-5bb8b2f9bbee.5440ff2a1af06cf1c400bd4cd448ecb2.jpeg?odnHeight=2000&odnWidth=2000&odnBg=ffffff
